x PREPROCESSOR COMMENT KEYWORD IDENTIFIER CONSTANTLITERAL CONSTANTCHAR CONSTANTSTRING OPERATOR PUNCTUATOR BLANK 
0-50 1 8 17 40 10 5 0 7 87 117 
50-100 0 6 20 49 1 0 0 2 101 129 
100-150 0 7 16 61 0 0 0 9 99 149 
150-200 0 8 12 61 0 2 0 10 104 140 
200-250 0 8 13 38 5 2 0 8 72 121 
250-300 0 7 24 58 4 4 0 8 114 168 
300-350 0 11 28 54 0 9 0 13 95 271 
350-400 0 7 14 58 3 2 0 4 83 128 
400-450 0 14 18 44 3 7 0 7 75 130 
450-500 0 8 19 77 4 19 0 22 126 154 
500-550 0 9 20 74 5 12 0 15 121 160 
550-600 0 0 0 0 0 0 0 0 1 2 
